Company,Job Title,Description,Time Posted,Location,image_url
Malaberg,High-Converting eCommerce Funnels and Sales Pages Designer,Experienced Web and UX designer for eCommere sales and landing pages,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Evvolve,Graphic designer,Design and build professional pitch decks and one-pagers for startups fundraising,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Zeno Health,UX Designer,UX Designer - Zeno Health,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Persona,Fashion Designer,We are looking for a Fashion Designer that matches our style and niche in the industry.,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
INTERNATIONAL MARKETER COMPANY,INTERIOER DESIGNERS,We are looking for an interior designer to work remotely. Fresh graduates are welcome.,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Айбрат,Дизайнер интерьеров,Мы ищем дизайнера интерьеров для оформления наших магазинов.,23 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Терри Групп,дизайн интерьеров,Мы в поисках дизайнеров по всей России.,25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Studio Picante,Visual Identity Designer,We are looking for a Graphic Designer specialized in Visual Identity,25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Latam Management Recruitment,Diseñador gráfico,"Se busca un Graphic Desinger, con inglés B2-C1, home office para una empresa Canadiense",25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
NIKIFILINI,Художник-иллюстратор,Художник-иллюстратор в команду NIKIFILINI,25 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Social the VPM,Graphic Designer,Seeking a creative Graphic Designer to bring innovative visuals to our projects.,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
NOW Art,Freelance Artist,Seeking Artists for Walmart Community Mural Program (USA and Puerto Rico only),a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
New Singularity Technology,Senior Brand Designer (Creative Marketing),Senior Brand Designer (Creative Marketing),a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
New Singularity Technology,Senior Motion Designer (Game),Senior Motion Designer (Game),a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
New Singularity Technology,Senior UI/UX Designer for long term game project,Remot Fulltime Game UX/UI Designer,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Bistro Digital,Diseñador UI &Web,Buscamos Diseñador Web Experto en No-Code y Animación para Agencia en Crecimiento 🚀,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Pintopay,Графический дизайнер,Ищем опытного дизайнера в финтех стартап. Увлекательные задачи: от баннеров до видео.,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Outcast MKT,Diseñador Grafico,Estamos contratando! Diseñador Grafico,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Needle,Production Manager - Kuala Lumpur,Production Manager,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
"ООО ""ЦВБП""",Контент-менеджер в СММ,Официальный магазин ПФК ЦСКА ищет творческого и инициативного СММ-менеджера,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Olympus Gymnastics academy,Graphic Designer,Static & Motion Graphic Designer is highly needed,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
The Gravity Agency,Middle/Senior Digital Web Designer,"We are looking for Digital Web Designer for web studio, with good sense of beauty :)",a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Optimite,Head of Design,"Unify, Elevate, Excel in team management & design analysis.",a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Afrodity Designs,Junior Visual/UI Designer,Junior Visual/UI Designer,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
vibes.band,Motion Designer,Активно (очень) ищем Моушен-дизайнера в дружную команду ⭐️,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Your MA,مسؤول قسم التصميم | Design Department Manager,قائد مبتكر يتولى مسؤولية إدارة وتنظيم فريق التصميم,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Your MA,مصمم جرافيكس | Graphic Designer,مبدع محترف مسؤول عن تحويل الأفكار والمفاهيم إلى تصاميم بصرية,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
RAY FITOUT & INTERIORS,UI/UX DESIGNER,We're looking for UI/UX designer,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
GENENSE,CGI Artist - INTERIOR RENDERING Specialization,We are looking for CGI Artists for Interior Rendering projects,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
GENENSE,3D Modeller - Product/Furniture,We are looking for 3D Modeller for furniture modeling projects,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
GENENSE,CGI Artist - 3D MOTION VIDEO Specialization,We are looking for CGI Artists for 3D Product Animation / Motion Video projects,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
NEXA Digital Web Design,Video Content Editor,Video Editor for producing high quality & engaging content for TikTok and Instagram reels,a month ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Sebastian Buckeridge,Motion Graphics Animated Explainer Video needed for multiple clients,We need a team of 2 or more: Motion graphics Animator and Illustrator,17 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Sebastian Buckeridge,3D animation video for b2b clients,We are looking for 3d animation expert or team,20 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Gaanya Singh,Packaging designer,Looking for a Creative Packaging Designer to Bring Products to Life,23 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Gaanya Singh,Illustration designer,Seeking a Skilled Illustration Designer for Creative Collaborations,23 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Gaanya Singh,Graphic designer,Seeking a Talented Graphic Designer to Join Our Creative Journey,23 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Design Limelight,Graphic Design Internship,Looking for a Graphic Design Intern (with a never give up attitude),3 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Daria Tepliakova,Graphic Designer (Gaming & iGaming) | Remote or Hybrid / Warsaw Office,We are looking for an experienced Graphic Designer,a day ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Anup Menon,Freelance Logo Designer,Seeking a Talented Logo Designer for a Stunning Brand Identity,3 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Dmitrii Alexandrovich,UX/UI designer in Web3 company,We are looking for an UX/UI designer with experince in Web3 or blockchain,7 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
